Image,P_ID,Condition,In_Out,X,Y
1023.0,P7,fil_sem,0.0,458.0,11.9
1023.0,P7,fil_sem,1.0,548.7,136.2
1023.0,P7,fil_sem,1.0,351.5,166.1
1023.0,P7,fil_sem,0.0,326.0,398.9
1023.0,P7,fil_sem,1.0,394.6,384.6
1023.0,P7,raw_sem,1.0,408.3,262.3
1023.0,P7,raw_sem,1.0,353.3,186.7
1023.0,P7,raw_sem,1.0,196.8,196.9
1023.0,P7,raw_sem,1.0,383.4,19.3
1023.0,P7,raw_sem,1.0,318.2,27.2
1023.0,P7,raw_sem,1.0,385.4,160.1
1023.0,P7,raw_sem,1.0,584.8,152.8
1023.0,P7,raw_sem,1.0,178.5,211.7
1023.0,P7,raw_sem,1.0,411.8,436.8
1023.0,P7,raw_sem,0.0,421.1,486.3
1023.0,P7,raw_sem,0.0,271.3,317.5
1025.0,P1,fil_sem,0.0,462.4,311.5
1025.0,P1,fil_sem,0.0,467.0,304.3
1025.0,P1,fil_sem,0.0,427.5,348.4
1025.0,P1,fil_sem,1.0,302.6,204.0
1025.0,P1,fil_sem,0.0,267.5,719.6
1025.0,P1,fil_sem,0.0,416.8,127.6
1025.0,P1,fil_sem,1.0,647.8,174.8
1025.0,P1,fil_sem,1.0,698.9,213.0
1025.0,P1,fil_sem,1.0,746.7,224.3
1025.0,P7,fil_sem,0.0,397.8,230.0
1025.0,P7,fil_sem,1.0,640.6,195.1
1025.0,P7,fil_sem,1.0,296.6,266.4
1025.0,P7,fil_sem,1.0,293.1,149.4
1025.0,P7,fil_sem,0.0,370.5,270.5
1025.0,P7,fil_sem,1.0,275.5,387.5
1025.0,P7,fil_sem,1.0,653.4,208.7
1025.0,P7,raw_sem,0.0,406.1,239.2
1025.0,P7,raw_sem,1.0,292.0,189.7
1025.0,P7,raw_sem,1.0,315.4,371.9
1025.0,P7,raw_sem,1.0,737.5,209.5
1025.0,P7,raw_sem,1.0,309.5,173.3
1025.0,P7,raw_sem,0.0,685.8,153.7
1026.0,P1,fil_non,1.0,408.7,315.9
1026.0,P1,fil_non,0.0,367.9,828.7
1026.0,P1,fil_non,1.0,438.9,335.9
1026.0,P1,fil_non,1.0,502.5,244.9
1026.0,P1,fil_non,1.0,549.9,344.5
1026.0,P1,fil_non,1.0,445.9,220.6
1026.0,P1,fil_non,0.0,495.7,840.7
1026.0,P7,fil_non,1.0,394.6,248.7
1026.0,P7,fil_non,1.0,531.4,233.2
1026.0,P7,fil_non,1.0,600.7,224.3
1026.0,P7,fil_non,1.0,525.6,228.0
1026.0,P7,fil_non,1.0,145.5,109.8
1026.0,P7,fil_non,1.0,81.2,112.5
1026.0,P7,fil_non,0.0,161.5,431.5
1026.0,P7,fil_non,0.0,136.3,356.2
1026.0,P7,fil_non,0.0,51.8,453.6
1026.0,P7,fil_non,0.0,80.3,520.7
1026.0,P7,fil_non,0.0,154.9,323.2
1026.0,P7,raw_non,1.0,406.6,263.3
1026.0,P7,raw_non,1.0,546.4,234.4
1026.0,P7,raw_non,1.0,618.5,245.1
1026.0,P7,raw_non,1.0,514.5,264.4
1026.0,P7,raw_non,1.0,113.1,137.3
1026.0,P7,raw_non,1.0,552.8,238.7
1026.0,P7,raw_non,1.0,658.0,256.6
1026.0,P7,raw_non,1.0,587.6,367.0
1026.0,P7,raw_non,1.0,124.7,141.5
1026.0,P7,raw_non,1.0,49.5,92.5
1026.0,P7,raw_non,0.0,109.4,67.1
1026.0,P7,raw_non,1.0,561.8,41.0
1027.0,P1,fil_sem,1.0,437.6,287.0
1027.0,P1,fil_sem,1.0,459.7,284.6
1027.0,P1,fil_sem,1.0,258.2,535.1
1027.0,P1,fil_sem,0.0,436.9,819.0
1027.0,P7,fil_sem,1.0,399.5,255.7
1027.0,P7,fil_sem,1.0,443.4,169.3
1027.0,P7,fil_sem,1.0,169.7,449.9
1027.0,P7,fil_sem,1.0,236.3,457.8
1027.0,P7,fil_sem,1.0,560.8,505.5
1027.0,P7,fil_sem,0.0,423.9,405.8
1027.0,P7,fil_sem,1.0,184.4,465.5
1027.0,P7,fil_sem,1.0,413.4,164.7
1027.0,P7,fil_sem,1.0,173.8,494.0
1027.0,P7,raw_sem,1.0,391.9,284.0
1027.0,P7,raw_sem,1.0,455.9,210.5
1027.0,P7,raw_sem,1.0,196.7,431.5
1027.0,P7,raw_sem,1.0,198.9,472.9
1027.0,P7,raw_sem,1.0,70.3,484.0
1027.0,P7,raw_sem,1.0,604.6,483.1
1027.0,P7,raw_sem,1.0,528.0,478.9
1027.0,P7,raw_sem,1.0,471.7,129.9
1027.0,P7,raw_sem,1.0,192.3,433.4
1027.0,P7,raw_sem,1.0,157.4,461.9
1027.0,P7,raw_sem,0.0,508.5,80.0
1027.0,P7,raw_sem,1.0,459.5,103.2
1028.0,P1,fil_sem,0.0,433.0,303.0
1028.0,P1,fil_sem,1.0,368.5,367.8
1028.0,P1,fil_sem,0.0,394.6,827.0
1028.0,P1,fil_sem,0.0,466.4,826.5
1028.0,P1,fil_sem,0.0,647.6,785.3
1028.0,P1,fil_sem,0.0,479.5,779.3
1028.0,P7,fil_sem,1.0,385.0,301.0
1028.0,P7,fil_sem,1.0,383.8,264.5
1028.0,P7,fil_sem,1.0,314.5,321.5
1028.0,P7,fil_sem,1.0,597.8,41.3
1028.0,P7,fil_sem,0.0,551.7,39.9
1028.0,P7,fil_sem,1.0,93.7,367.6
1028.0,P7,fil_sem,1.0,133.6,410.8
1028.0,P7,fil_sem,1.0,692.6,203.1
1028.0,P7,fil_sem,1.0,277.5,245.0
1028.0,P7,fil_sem,1.0,326.8,299.3
1028.0,P7,raw_sem,1.0,415.3,238.7
1028.0,P7,raw_sem,1.0,348.9,281.0
1028.0,P7,raw_sem,0.0,705.0,188.1
1028.0,P7,raw_sem,1.0,622.8,70.3
1028.0,P7,raw_sem,1.0,352.9,275.8
1029.0,P1,fil_non,1.0,449.3,209.7
1029.0,P1,fil_non,1.0,555.8,165.2
1029.0,P1,fil_non,1.0,621.5,206.3
1029.0,P1,fil_non,1.0,554.8,230.5
1029.0,P1,fil_non,1.0,458.4,236.3
1029.0,P1,fil_non,1.0,389.9,176.5
1029.0,P1,fil_non,1.0,424.7,189.0
1029.0,P7,fil_non,1.0,397.0,237.2
1029.0,P7,fil_non,1.0,373.1,120.0
1029.0,P7,fil_non,1.0,557.6,139.0
1029.0,P7,fil_non,1.0,83.5,274.9
1029.0,P7,fil_non,1.0,48.7,274.1
1029.0,P7,fil_non,1.0,412.4,104.1
1029.0,P7,fil_non,1.0,337.4,72.3
1029.0,P7,fil_non,1.0,611.0,168.0
1029.0,P7,raw_non,1.0,421.1,249.3
1029.0,P7,raw_non,1.0,540.4,216.3
1029.0,P7,raw_non,1.0,76.2,258.1
1029.0,P7,raw_non,1.0,538.4,162.0
1029.0,P7,raw_non,1.0,453.2,185.6
1029.0,P7,raw_non,1.0,638.2,166.9
1029.0,P7,raw_non,1.0,130.8,246.9
1029.0,P7,raw_non,1.0,67.7,265.3
1029.0,P7,raw_non,1.0,387.3,88.0
1029.0,P7,raw_non,1.0,619.1,220.0
1030.0,P1,fil_non,1.0,407.3,249.8
1030.0,P1,fil_non,1.0,347.5,269.6
1030.0,P1,fil_non,1.0,265.9,245.1
1030.0,P1,fil_non,1.0,288.3,245.8
1030.0,P1,fil_non,1.0,359.9,157.2
1030.0,P1,fil_non,0.0,355.5,-48.5
1030.0,P7,fil_non,1.0,386.3,251.8
1030.0,P7,fil_non,1.0,229.7,249.4
1030.0,P7,fil_non,1.0,267.6,264.6
1030.0,P7,fil_non,0.0,706.9,143.3
1030.0,P7,fil_non,1.0,659.8,162.1
1030.0,P7,fil_non,1.0,545.8,234.4
1030.0,P7,fil_non,1.0,404.8,217.6
1030.0,P7,fil_non,1.0,264.0,267.1
1030.0,P7,fil_non,1.0,377.8,295.8
1030.0,P7,fil_non,1.0,650.7,45.1
1030.0,P7,fil_non,1.0,679.8,27.6
1030.0,P7,fil_non,1.0,601.9,181.2
1030.0,P7,raw_non,1.0,418.0,246.3
1030.0,P7,raw_non,1.0,235.2,240.4
1030.0,P7,raw_non,1.0,526.4,231.2
